fooditems;energy_kcal;carbs;protein_g;fat_g;freesugar_g;fibre_g;cholestrol_mg;calcium_mg
Cocopinecooler;32.75;5.72;0.56;1.0;5.52;0.26;3.4;17.81
Summercooler;22.43;5.43;0.37;0.04;5.21;0.2;0.0;8.13
Hotcocoa;90.1;9.23;3.36;4.56;9.01;0.0;0.0;113.66
Coldcoffeewithicecream;67.85;11.24;1.57;2.11;11.18;0.01;1.17;53.29
Bananamilkshake(  Kelemilkshake );65.31;9.15;1.84;2.37;7.96;0.26;0.0;62.64
Mangomilkshake(  Aammilkshake );56.9;7.23;1.73;2.35;7.15;0.26;0.0;62.33
Pineapplemilkshake(  Ananasmilkshake );55.72;7.62;1.66;2.23;7.6;0.0;0.0;59.92
Orangemilkshake(  Narangimilkshake );57.42;7.11;1.86;2.52;7.08;0.0;0.0;67.42
Eggnog;97.14;8.15;4.78;5.11;8.06;0.02;60.3;102.13
Sweet Lassi(  Meethilassi );35.66;6.51;1.29;0.68;6.51;0.0;2.49;45.65
Lassi( salted );18.84;1.86;1.35;0.72;1.84;0.02;2.6;47.78
Cheeseandchillisandwich;218.11;27.4;6.8;9.78;2.38;2.08;23.05;113.79
Eggsandwich(  Andekasandwich );285.96;29.16;8.69;15.8;1.86;1.88;121.63;110.13
Cucumbersandwich(  Kheerekasandwich );188.6;25.77;4.8;8.0;1.64;2.45;17.53;87.84
Cheeseandpineapplesandwich(  Cheeseaurananaskasandwich );257.71;29.1;8.2;12.8;4.1;2.33;34.35;199.73
Cheeseandtomatosandwich(  Cheeseaurtamatarkesandwich );243.32;26.92;7.92;12.27;2.85;1.97;32.88;191.2
Chickensandwich;253.27;25.38;13.12;11.75;1.6;1.64;42.06;89.56
Peanutandtomatosandwich(  Moongfaliaurtamatarkasandwich );291.43;28.54;9.53;16.14;2.82;4.03;17.53;94.03
Rainbowsandwich;272.75;34.26;7.75;12.54;4.05;2.1;31.16;172.04
Clubsandwich;235.32;18.51;7.31;15.12;2.01;1.81;31.26;115.68
Vegetarianclubsandwich;198.33;19.68;5.45;11.33;2.08;2.06;23.13;122.44
Pinwheelsandwich;311.52;14.0;8.77;24.93;1.45;0.93;179.52;67.75
Carrotapplesandwich(  Gajaraursebkasandwich );214.11;29.04;5.3;9.12;5.3;3.66;21.05;118.05
Salamisandwich;255.59;21.54;8.7;15.51;2.0;1.97;33.35;73.54
Vegetableandmayonnaisesandwich;244.26;23.2;4.47;15.4;2.35;2.35;21.87;79.53
Eggandtomatosandwich(  Andeaurtamatarkasandwich );222.11;25.9;7.66;10.51;2.09;1.77;95.63;95.71
Sweetopensandwich;244.25;39.24;4.99;8.15;12.23;2.36;18.05;85.18
Mushroomandcheesesandwich( toasted );227.42;21.01;7.79;13.01;2.11;2.28;35.12;172.35
Cheeseandtomatosandwich( toasted )(  Cheeseaurtamatarkesandwich( toasted ) );224.58;21.42;6.82;12.95;2.67;1.78;35.12;169.22
Peapotatosandwich( toasted )(  Mataralookasandwich );164.9;25.17;4.6;5.43;1.33;2.89;0.0;64.15
Paneerpeasandwich( toasted )(  Paneermatarkasandwich );249.56;24.05;12.4;11.98;6.4;2.12;0.0;274.1
Chickensandwich( toasted );167.37;18.82;12.08;5.32;2.13;1.64;26.57;99.99
Peakeemasandwich( toasted )(  Mataraurkeemakasandwich );171.78;20.26;11.06;5.61;1.94;2.45;27.29;70.79
Classicclubsandwich;200.83;18.49;6.74;11.56;1.86;1.62;62.87;107.73
Sesametoast;495.19;11.15;1.9;49.38;1.46;1.32;0.0;43.44
Crackedwheatporridge(  Meethadaliya );81.57;8.87;2.64;4.08;5.12;0.62;0.0;75.88
Semolinaporridge(  Suji/ Ravadaliya );100.89;12.39;3.75;4.08;7.54;0.7;0.0;108.52
Oatmeal Porridge;72.85;8.77;2.6;3.22;5.2;0.39;0.02;76.83
Cornflakeswithmilk;117.33;14.95;3.59;5.12;9.97;0.78;0.0;106.47
Riceflakes(  Chiwda/ Aval );112.44;15.57;3.62;3.99;7.28;0.37;0.0;103.15
Wheatflakes;112.44;15.57;3.62;3.99;7.28;0.37;0.0;103.15
Murmura(  Puffedrice );113.32;15.67;3.62;4.04;7.31;0.28;0.0;103.79
Puffedwheat(  Murmure/ Moori );113.32;15.67;3.62;4.04;7.31;0.28;0.0;103.79
Boiledegg(  Ublaanda );45.35;0.12;4.43;3.04;0.0;0.11;121.19;17.75
Fried Egg;223.67;0.31;11.59;19.62;0.0;0.29;316.88;46.4
Poachedegg;123.87;0.37;11.98;8.19;0.05;0.3;326.79;48.24
Scrambledegg(  Andekibhurji );155.97;1.35;10.29;12.21;1.08;0.24;273.6;64.59
Bakedegg;218.85;15.42;11.88;12.65;1.66;1.03;204.36;164.05
Plainomelette/omlet;272.41;0.64;9.66;25.74;0.51;0.12;255.94;48.4
Stuffedeggomelette/omlet;203.51;2.3;8.6;17.77;1.57;0.75;154.38;89.91
Pancake;203.36;20.49;5.68;10.82;3.32;0.65;35.93;79.49
Keemapancake;176.27;9.56;9.01;11.25;2.2;0.84;46.43;40.96
Vegetablepancake;125.18;12.24;3.87;6.57;2.09;2.48;19.32;42.89
Jamandfruitpancake;162.02;20.73;3.79;7.01;7.85;1.21;23.09;54.06
Khoaandcoconutpancake;271.98;27.32;6.98;15.29;16.47;1.65;21.35;157.22
Brownstock;21.32;0.25;1.95;1.38;0.14;0.09;0.0;17.16
Vegetablestock;17.6;0.96;0.3;1.38;0.44;0.38;3.46;5.08
Chickenstock;29.88;0.37;3.69;1.51;0.2;0.1;10.23;3.57
Cleartomatosoup(  Tamatarkasoup );80.07;3.45;4.79;12.22;1.44;1.96;0.0;29.05
Lentilsoup;31.17;3.94;9.65;11.68;1.06;2.57;2.19;40.57
Chickenconsomme(  Clearchickensoup );47.94;1.19;11.47;12.02;0.54;1.57;17.0;35.48
Creamoftomatosoup;97.81;3.93;4.61;13.12;1.81;1.38;5.47;39.61
Creamofgreenpeassoup;127.84;6.75;7.13;14.78;1.61;2.95;6.19;51.01
Creamofspinachsoup;100.54;3.45;5.21;13.31;1.13;1.74;5.47;70.77
Creamofmixedvegetablesoup;59.65;4.93;6.84;9.05;2.1;2.14;7.05;65.26
Creamofmushroomsoup;117.28;3.74;6.64;15.5;1.93;1.34;6.74;70.56
Chickensweetcornsoup;28.32;1.63;14.48;12.59;0.27;0.47;6.37;91.5
Minestronesoup;42.66;3.71;9.3;11.09;1.01;1.92;3.7;53.55
Eggdropsoup;26.64;1.1;12.93;13.52;0.6;0.81;31.67;100.14
Chinesecabbageandmeatballsoup;484.31;1.43;5.21;56.57;0.37;0.57;5.83;41.07
Frenchonionsoup;55.61;4.28;11.41;14.39;1.5;1.01;10.59;106.22
Hotandsoursoup;31.51;1.78;3.12;1.31;0.66;0.6;17.91;10.68
Talaumeinsoup;35.63;4.17;10.12;12.78;0.77;1.94;12.4;42.33
Coldcucumbersoup(  Thandakheerekasoup );48.03;4.58;2.99;1.99;3.34;0.88;7.06;99.79
Coldsummergardensoup;49.19;2.65;8.57;14.08;0.46;1.86;10.12;43.93
Chapati/ Roti;202.31;35.65;5.88;3.56;1.0;6.31;6.83;17.22
Plainparantha/paratha;298.3;30.69;5.06;16.86;0.86;5.43;0.0;14.81
Potatoparantha/paratha(  Alookaparantha/paratha );205.04;23.92;3.7;10.22;1.15;4.18;0.0;17.38
Radishparantha/paratha(  Moolikaparantha/paratha );183.52;20.54;3.3;9.53;1.31;4.32;0.0;23.75
Cauliflowerparantha/paratha(  Phoolgobhikaparantha/paratha );178.07;18.84;3.73;9.47;1.15;4.68;0.0;22.0
Dalparantha/paratha;268.24;30.03;6.78;13.05;1.43;6.46;0.0;23.89
Sproutedmoongparantha/paratha;228.59;24.31;4.29;12.43;1.47;4.49;0.0;20.33
Peaparantha/paratha(  Matarkaparantha/paratha );190.73;21.51;5.59;8.8;1.29;5.61;0.0;23.49
Keemaparantha/paratha;238.09;18.36;9.41;13.91;0.99;3.44;25.66;19.35
Paneerparantha/paratha;262.97;24.33;7.98;14.62;3.77;4.0;0.0;127.65
Besanandspinachparantha/paratha(  Besanaurpalakkaparantha/paratha );216.49;21.39;5.54;12.09;1.31;4.39;0.0;33.07
Poori;737.63;8.22;1.35;77.61;0.23;1.46;1.58;3.98
Spinachpoori(  Palakpoori );684.25;7.76;1.42;71.86;0.24;1.55;1.46;10.02
Methipoori;710.02;7.98;1.45;74.6;0.26;1.61;1.51;14.61
Dalstuffedpoori;785.16;10.14;2.08;81.69;0.29;1.96;1.66;6.88
Potatostuffedpoori(  Alookipoori );776.74;9.4;1.52;81.35;0.26;1.64;1.65;5.57
Tandooriparantha/paratha;295.37;30.74;5.08;16.51;0.86;5.44;39.77;14.98
Boiledrice(  Ublechawal );117.19;25.72;2.6;0.18;0.22;1.25;0.0;2.7
Plainpulao;140.21;21.82;2.34;4.62;1.15;1.69;0.0;12.76
Mixedvegetablepulao;113.05;17.49;2.72;3.33;1.35;2.67;0.0;19.61
Mushroompulao;124.29;19.02;2.52;4.03;1.0;1.88;0.0;13.54
Sproutedmoongpulao;112.97;17.49;2.19;3.61;1.43;1.78;0.0;16.26
Paneerpulao;581.91;8.76;1.98;59.81;1.11;0.62;0.0;33.09
Peanutpulao;193.28;21.18;5.32;9.51;1.6;2.9;0.0;18.52
Navratanpulao;261.71;36.98;6.2;9.45;2.52;3.82;0.0;59.61
Greenchickpeaspulao(  Choliyapulao/ Harechanekapulao );173.43;27.57;4.88;4.82;2.48;3.15;0.0;18.94
Muttonbiryani/biriyani;190.76;22.5;7.38;7.72;2.39;2.42;0.4;68.58
Vegetablebiryani/biriyani;174.61;18.56;3.16;9.51;2.14;3.31;0.27;33.52
Lemonrice(  Pulihora  Elumichaisadam  Chitranna );176.3;21.62;4.26;7.88;0.78;2.52;0.0;12.7
Sweetrice(  Meethechawal );215.41;42.59;2.1;4.57;24.8;1.13;9.55;11.38
Curdrice(  Dahibhaat/ Dahichawal/ Peruguannam/ Daddojanam/ Thayirsaadam );195.74;32.93;5.75;4.32;3.91;2.13;3.12;101.52
Tamarindrice(  Chintapandupulihora/ Puliyodharai/ Pulisadam/ Hulianna );373.04;65.08;7.45;8.53;11.65;5.12;7.7;50.94
Spanishrice;164.24;31.1;4.19;2.23;1.26;2.78;0.0;18.93
Chinesefriedrice;120.58;13.4;4.05;5.43;1.47;2.31;52.09;34.7
Macronicheesepie;170.63;21.1;5.85;7.48;3.4;0.4;15.99;122.01
Vegetablechowmein;129.71;15.44;3.07;6.36;1.97;1.86;0.0;28.33
Chickenchowmein;151.33;13.3;6.33;8.23;1.63;1.64;10.73;26.1
Cheesenoodlering;133.67;13.96;6.22;6.12;2.84;1.27;55.67;99.3
Spaghettiandcheeseballsintomatosauce;508.32;7.82;2.41;52.08;1.83;0.59;3.83;40.59
Penneplatter;177.4;20.87;5.04;8.71;4.5;1.09;2.29;67.67
Pastahotpot;125.17;11.6;5.84;6.47;5.99;0.8;27.19;55.28
Chickenlasagne;187.49;13.9;10.45;10.36;2.74;0.11;50.38;119.98
Fettuccinewithspinachsauce;129.21;12.19;3.1;7.83;1.18;0.77;10.29;53.67
Naan;286.45;51.75;8.05;4.99;5.59;1.91;10.15;88.01
Bhatura;793.2;10.73;1.63;82.56;0.69;0.38;0.38;12.12
Idli;137.54;28.18;4.64;0.33;0.28;2.31;0.0;8.0
Masaladosa;164.58;19.57;3.29;7.84;1.33;2.52;0.0;15.58
Semolinadosa(  Suji/ Ravadosa );227.05;32.84;7.3;7.12;4.37;4.04;4.59;116.04
Oniontomatouttapam;462.02;11.32;1.91;45.3;0.8;1.26;0.0;5.82
Paneerkaathiroll;285.94;20.1;6.92;19.55;3.29;2.4;30.84;101.66
Makkikiroti;263.97;24.19;3.49;16.85;0.7;5.19;39.07;14.76
Washedmoongdal(  Dhulimoongkidal );50.0;5.91;2.68;1.68;0.12;1.17;0.0;8.48
Washeduraddal(  Dhuliuradkidal );61.32;5.84;2.51;2.98;0.32;1.53;0.0;10.24
Splitbengalgramwithbottlegourd(  Channadalwithghiya/lauki );73.25;7.1;2.79;3.6;1.05;2.72;0.0;14.33
Drywashedurad;124.71;15.66;6.85;3.5;0.73;4.06;0.0;27.08
Mixeddal;61.93;5.79;2.51;3.1;0.34;1.62;0.0;11.0
Wholemoong(  Moongkidal );53.7;5.22;2.25;2.56;0.59;2.02;0.0;13.58
Wholemasoor(  Masoorkidal );54.05;5.37;2.28;2.52;0.67;1.98;0.0;12.2
Wholemoth(  Mothkidal );55.0;5.74;2.01;2.62;0.66;1.85;0.0;18.98
Wholeurad(  Uradkidal );53.8;5.05;2.21;2.62;0.57;2.32;0.0;13.07
Motimahaldal(  Uradrajmahmixdal );103.13;8.74;3.93;5.66;1.7;3.38;1.92;38.13
Blackchannacurry/ Bengalgramcurry(  Kalechanekicurry );140.68;14.11;5.67;6.61;2.36;7.99;0.0;53.87
Chickpeascurry(  Safedchannacurry );163.43;19.98;6.1;6.84;4.78;4.73;0.0;30.61
Lobiacurry;148.99;17.88;6.06;5.62;2.51;4.57;0.0;36.8
Soyabeancurry;163.28;6.76;10.43;10.19;2.66;7.34;0.0;65.13
Kidneybeancurry(  Rajmahcurry );143.73;16.38;5.95;5.77;2.49;5.83;0.0;47.87
Sambar;96.92;10.57;3.35;4.38;3.31;3.52;0.0;30.24
Besankadhiwithpakodies;403.35;3.56;1.64;42.59;0.88;0.81;0.94;24.53
Khattachanna;202.57;21.14;6.3;10.56;4.75;5.26;0.0;40.77
Sproutedmoongdalchat;32.47;6.01;1.35;0.32;1.57;1.35;0.0;16.54
Potatocauliflower(  Aloogobhi );106.18;5.99;1.9;8.13;0.44;3.02;0.0;22.87
Potatocapsicum(  Shimlamirchaloo );125.53;8.72;1.41;9.33;0.54;2.02;0.0;16.45
Cabbageandpeas(  Pattagobhiaurmatar );63.88;6.24;3.24;2.64;0.97;3.99;0.0;45.5
Carrotandfenugreekleaves(  Gajarmethi );61.92;4.17;2.1;3.81;2.11;4.43;0.0;128.83
Potatofenugreek(  Aloomethi );135.15;8.47;2.25;10.04;0.54;2.93;0.0;107.8
Brinjalbhartha(  Baingankabhartha );65.12;4.4;1.38;4.48;1.82;3.27;0.0;17.85
Drypotato(  Sookhealoo );103.15;14.38;1.62;4.18;0.33;1.88;0.0;17.2
Cauliflowerwithcoconut(  Nariyalkesaathphoolgobhi );132.11;3.99;2.64;11.56;1.71;5.27;0.0;35.37
Carrotandcabbagewithcoconut(  Nariyalkesaathpattagobhiaurgajar );106.61;4.99;1.82;8.62;2.36;4.52;0.0;48.63
Rawturnipwithcoconut;132.15;5.78;1.8;11.47;4.4;2.79;0.0;50.65
Rawpapayawithcoconut(  Papayathoran );132.75;5.58;1.54;11.42;3.82;4.31;0.0;33.74
Stuffedokra(  Bharwabhindi );94.34;3.85;2.08;7.66;0.48;4.15;0.0;86.89
Stuffedroundgourd(  Bharwatinde );72.8;4.02;1.1;5.75;1.96;2.1;0.0;20.21
Stuffedcapsicum(  Bharwashimlamirch );90.94;8.26;1.34;5.7;1.21;2.01;0.0;15.17
Stuffedbrinjal(  Bharwabaingan );93.0;3.96;1.53;7.73;0.92;4.09;0.0;24.37
Stuffedtomatoes(  Bharwatamatar );93.35;6.19;3.28;6.06;2.68;2.2;0.0;59.16
Peapotatocurry(  Aloomatar );100.92;9.74;3.48;5.13;1.86;3.61;0.0;21.1
Peapaneercurry(  Matarpaneer );134.83;9.29;6.61;7.75;3.89;3.3;0.0;105.2
Peamushroomcurry(  Matarmushroom );93.3;7.41;3.87;5.16;1.82;3.86;0.0;22.7
Peacurry(  Matarkisabzi );102.99;9.2;4.51;5.11;1.98;4.44;0.0;24.48
Peavadicurry;101.95;8.9;4.64;5.08;1.92;4.28;0.0;23.62
Paneercurry;176.52;8.4;7.8;12.38;6.29;1.4;0.0;189.06
Lotusstemcurry(  Kamalkakdicurry );110.34;9.24;1.53;7.25;2.09;3.14;0.0;26.59
Gravyforkofta;125.59;6.31;1.75;10.35;3.73;1.96;1.18;39.65
Peakoftacurry(  Matarkoftacurry );595.66;4.17;2.01;63.39;0.88;1.7;0.21;13.84
Spinachkoftacurry(  Palakkoftacurry );571.78;3.56;1.09;61.49;0.82;0.92;0.2;29.31
Paneerkoftacurry;670.91;3.27;2.39;72.06;1.98;0.4;0.24;59.49
Lotusstemkoftacurry(  Kamalkakdikoftacurry );633.56;5.01;0.96;67.76;0.88;1.01;0.23;19.31
Rawbananakoftacurry(  Kelakoftacurry );627.27;3.4;0.62;67.98;2.3;0.59;0.23;9.23
Cauliflowerkoftacurry(  Phoolgobhikoftacurry );641.1;2.62;1.04;69.62;0.83;1.0;0.23;12.26
Cabbagekoftacurry(  Pattagobhikoftacurry );639.81;2.87;0.98;69.4;0.89;0.9;0.23;15.46
Ghiya/ Lauki Kofta Curry;638.71;2.71;0.89;69.4;0.82;0.83;0.23;11.64
Spinachpaneerkoftacurry(  Palakpaneerkoftacurry );606.03;2.94;1.43;65.41;1.16;0.75;0.22;37.71
Vegetarianeggkoftacurry;627.41;4.26;1.33;67.24;1.19;0.64;0.22;28.39
Bakedvegetables;88.99;8.44;3.67;4.44;2.56;2.34;8.27;80.2
Cauliflowermusallam(  Phoolgobhimusallam );58.83;4.48;1.89;3.55;1.71;3.06;0.0;24.61
Bakedvegetableswithspinach;77.79;6.93;3.22;4.03;2.09;2.33;6.55;78.63
Bakedpotatowithskin;135.77;11.11;3.43;8.5;1.66;1.2;21.72;90.06
Shepherd'spie( vegetarian );135.63;12.03;5.04;7.3;2.78;2.23;10.62;85.59
Bakedbrinjalintomatosauce;38.63;4.13;1.58;1.62;2.2;2.34;0.0;26.24
Dumaloo;682.33;3.33;0.7;74.01;0.71;0.68;0.49;16.49
Spinachpaneer(  Palakpaneer );77.68;4.43;4.03;4.76;2.55;1.91;0.0;113.25
Methichaman;475.62;2.78;1.54;50.91;1.79;0.53;0.0;60.57
Sarsonkasaag;87.84;5.33;3.0;5.86;0.75;3.69;13.24;134.41
Jackfruitsabzi(  Kathalkisabzi );625.4;3.4;0.69;67.6;2.59;1.02;0.0;9.85
Avial;124.56;8.47;2.46;8.94;3.83;5.44;0.0;31.9
Alyakhani;147.54;4.65;2.86;13.14;3.56;1.27;4.74;103.88
Shahipaneer;156.5;6.64;5.06;12.34;5.01;1.4;23.7;125.38
Paneerinbuttersauce;145.61;9.7;6.99;8.81;7.49;1.5;9.9;170.59
Methimalaipaneer;194.98;8.15;7.34;14.76;6.0;1.47;7.11;183.96
Chillipaneer;777.51;3.31;2.1;84.01;1.5;0.5;0.34;42.9
Paneermakhanakorma;775.82;4.63;3.24;82.76;1.84;0.21;1.58;72.89
Kadhai Paneer;107.99;7.34;4.33;6.81;5.54;2.07;0.0;91.53
Roghanjosh;139.59;4.93;9.56;9.02;2.66;2.08;1.4;112.33
Spinachmutton(  Palakmutton );80.32;3.45;5.74;4.71;1.42;2.23;0.68;96.88
Peakeemacurry(  Matarkeemakisabzi );133.0;6.24;8.43;8.14;1.82;2.96;22.87;35.6
Keemakoftacurry;154.45;5.64;9.77;10.39;2.14;1.51;57.79;49.89
Kashmirimuttonkoftas(  Gushtaba );97.42;3.04;6.33;6.77;2.13;0.62;25.31;52.53
Muttonyakhni;104.13;0.84;8.27;7.7;0.13;0.67;0.0;88.61
Chickenyakhni;99.0;0.78;10.66;6.1;0.12;0.62;29.29;28.24
Muttondopiaza;183.3;4.14;9.39;14.41;2.9;1.93;77.86;118.61
Muttonchops;663.64;1.48;4.03;71.31;0.42;0.17;13.32;36.18
Shammikebab;685.69;3.54;4.52;72.61;0.31;1.05;24.6;13.11
Scotchegg;676.89;1.91;4.05;72.62;0.3;0.36;48.59;15.03
Shepherd'spie( withmincedmeat );142.78;8.06;7.45;8.88;1.7;1.05;33.31;21.3
Chickencurry;129.22;3.38;11.79;7.57;1.79;1.41;31.25;27.29
Tandoorichicken;145.2;2.34;16.26;7.93;1.58;0.5;44.25;44.33
Butterchicken;137.0;3.74;10.92;8.7;2.37;1.32;39.26;25.28
Chickenkebab;729.41;1.11;3.71;78.89;0.24;0.21;9.94;3.46
Chillichicken;198.83;2.86;9.57;16.56;0.93;0.99;23.87;12.97
Friedchickenwithtomatosauce(  Friedchickentamatarkichutneykaysaath );125.03;2.51;11.48;7.61;1.16;1.13;31.09;16.09
Fishcurry(  Machlicurry );111.13;3.77;8.76;6.69;2.02;1.89;19.22;52.06
Friedfish(  Indianstyle )(  Talihuimachli );658.54;5.4;4.35;68.88;0.4;0.61;6.57;11.11
Friedfishand Chips(  English Style )(  Talihuimachliaurchips );651.75;2.77;3.36;69.69;0.17;0.29;12.51;6.56
Tomatofish;489.79;3.18;2.39;51.91;1.35;0.72;5.17;6.46
Bakedfishwithcheesesauce;113.96;4.06;8.64;7.02;3.22;0.08;21.37;115.64
Fishtikka;117.33;3.91;16.0;4.15;1.18;1.18;32.73;31.98
Tandoorifish appleandpineapplesalad;95.98;2.37;11.19;4.64;1.6;0.58;23.41;37.27
Paneer;95.08;8.35;3.88;5.07;6.36;1.65;6.52;103.05
Russiansalad;114.83;6.5;4.26;7.84;1.66;2.57;64.49;34.92
Pastasalad;190.36;12.7;4.15;13.92;2.6;0.96;12.7;66.74
Deviledegg;98.56;2.23;4.97;7.72;0.82;1.15;118.13;36.84
Hawainsalad;175.23;14.35;4.27;11.37;5.24;3.93;4.24;61.03
Mixedpulseandvegetablesalad;83.12;13.96;4.74;0.84;1.36;2.96;0.0;51.63
Sproutedmoongsalad;37.81;5.48;2.29;0.74;2.13;0.95;1.62;54.56
Tossedsalad;62.96;4.95;1.02;4.22;1.56;2.15;0.0;32.37
Mixedvegetablesaladwithcurdsauce;60.28;7.03;4.23;1.5;2.16;3.79;4.09;65.51
Potatosalad(  Alookasalaad );89.91;11.19;1.4;4.4;3.94;1.32;0.0;25.61
Waldroffsalad;141.75;11.02;1.47;10.05;8.23;1.87;9.87;29.29
Coleslaw;76.71;5.59;1.24;5.32;3.62;2.34;6.42;37.0
Fruitsalad(  Phalonkasalaad );78.14;15.96;0.91;1.22;9.78;1.58;2.71;25.93
Tomatoonionraita(  Tamataraurpyaazkaraita );59.0;7.08;3.74;1.84;5.98;0.97;6.19;120.62
Peanutraita(  Mungfalikaraita );150.39;9.3;8.59;8.98;7.11;1.89;8.97;174.6
Sproutedmoongraita;60.89;6.13;4.62;2.19;5.59;0.16;7.21;139.44
Bottlegourdraita(  Ghiya/ Laukikaraita );56.31;5.76;3.98;2.07;5.25;0.85;7.21;138.26
Cucumberraita(  Kheerekaraita );59.13;6.35;4.04;2.08;5.22;0.86;7.21;138.58
Carrotandspinachraita(  Gajaraurpalakkaraita );56.83;5.83;4.0;1.99;4.93;1.39;6.19;142.57
Mintraita(  Pudinaykaraita );77.59;7.65;5.64;2.96;7.48;0.34;10.51;198.22
Potatoraita(  Alookaraita );75.38;10.24;4.22;2.04;5.08;0.75;6.98;132.31
Boondiraita;687.72;3.96;2.19;73.83;1.88;0.46;2.51;49.0
Sweetraita(  Meetharaita );99.24;17.93;3.24;1.78;15.36;1.02;5.73;108.91
Dahivadas/ Dahibhalla;667.73;5.49;2.96;70.4;1.78;0.97;2.39;49.03
Gunjia;667.34;5.68;2.98;70.28;2.05;1.13;2.36;48.16
Saunth/ Sonthchutneywithtamarind/imli;141.53;33.55;1.01;0.15;31.31;0.93;0.0;54.74
Ricekheer(  Chawalkikheer );75.03;10.05;2.3;2.97;8.02;0.17;0.0;75.57
Makhanakheer;107.85;12.88;3.31;5.0;11.54;0.11;1.77;111.64
Vermicellikheer(  Semiya/ Seviyankikheer );120.07;15.87;3.35;5.0;12.79;0.5;2.12;104.8
Semolinakheer(  Suji/ Ravakheer );113.21;15.88;3.43;4.2;12.88;0.51;0.0;105.99
Paneerkheer;105.31;10.03;4.53;5.37;9.87;0.07;0.0;144.66
Cabbagekheer(  Pattagobhikikheer );83.51;9.73;2.87;3.8;9.28;0.51;0.0;102.74
Carrotkheer(  Gajarkikheer );85.35;10.09;2.81;3.85;9.63;0.73;0.0;100.12
Cauliflowerkheer(  Phoolgobhikikheer );81.95;8.78;3.04;3.95;8.49;0.55;0.0;101.75
Moongdalkheer;77.16;9.89;2.95;2.97;7.92;0.4;0.0;75.66
Phirni;116.12;16.11;3.49;4.34;10.79;0.36;0.0;104.57
Semolinahalwa(  Sujikahalwa );225.65;24.67;2.16;13.38;13.98;1.86;30.82;11.77
Shahisujihalwa;382.34;44.44;3.48;21.73;27.21;2.96;50.05;18.64
Carrothalwa(  Gajarkahalwa );172.64;18.53;3.11;9.73;16.85;2.65;14.66;106.94
Egghalwa(  Andekahalwa );299.74;39.59;7.85;13.41;37.85;0.49;204.93;35.77
Potatohalwa(  Alookahalwa );151.66;29.18;1.53;3.48;17.42;1.64;6.23;14.15
Pumpkinhalwa(  Kaddukahalwa );190.27;27.6;1.33;8.81;26.64;2.97;9.52;24.34
Moongdalhalwa;349.8;40.23;8.35;17.68;25.59;2.65;34.81;110.4
Caramelcustard( steamed );121.58;15.02;4.97;4.87;14.98;0.0;78.88;88.12
Bakedcustard;106.53;9.45;5.41;5.3;9.42;0.0;85.92;95.32
Soft Custard( stirred );109.18;11.19;5.01;5.07;11.15;0.0;73.35;95.82
Chocolateicecream;177.7;15.41;4.47;11.25;15.33;0.0;68.26;84.24
Mangoicecream;125.69;11.14;3.4;7.62;11.01;0.52;55.21;67.17
Fruit Icecream(  Phalonka Icecream );171.46;16.05;4.37;10.38;14.03;0.33;17.12;93.35
Caramelicecream;173.52;14.81;4.31;11.15;14.52;0.08;54.79;87.32
Lemonsouffle;168.51;13.43;6.95;10.02;11.67;0.0;100.42;59.81
